page_id,route,title,source,component_count,component_ids,shared_dependencies,evidence_status,mobile_status,screenshots
P85,/welcome,First-run onboarding,src/app/(app)/welcome/page.tsx,3,P85-C01; P85-C02; P85-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,66-detail-6-desktop.jpg
P86,/privacy,Data notice,src/app/privacy/page.tsx,3,P86-C01; P86-C02; P86-C03,G01; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Public responsive/source branch reviewed,75-detail-7-desktop.jpg
P87,/offline,Offline saved golf,src/app/offline/page.tsx,5,P87-C01; P87-C02; P87-C03; P87-C04; P87-C05,G01; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Offline companion source reviewed; network/device execution not tested,83-runtime-7-desktop.jpg
P88,/share/[token],Shared round,src/app/share/[token]/page.tsx,3,P88-C01; P88-C02; P88-C03,G01; G09; G10; G11; G12; G13; G14,Source reviewed; token/special state not exercised live,Public responsive/source branch reviewed,
P89,/share/course-twin/[token],Shared Course Twin,src/app/share/course-twin/[token]/page.tsx,3,P89-C01; P89-C02; P89-C03,G01; G09; G10; G11; G12; G13; G14,Source reviewed; token/special state not exercised live,Public responsive/source branch reviewed,
P90,/share/report/[token],Shared coach report,src/app/share/report/[token]/page.tsx,3,P90-C01; P90-C02; P90-C03,G01; G09; G10; G11; G12; G13; G14,Source reviewed; token/special state not exercised live,Public responsive/source branch reviewed,
P91,/companion/handoff,Desktop handoff,src/app/(app)/companion/handoff/page.tsx,2,P91-C01; P91-C02,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Source reviewed; token/special state not exercised live,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,
P92,/companion/summary,Companion summary router,src/app/(app)/companion/summary/page.tsx,2,P92-C01; P92-C02,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Source reviewed; token/special state not exercised live,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,
P93,/courses/[courseId]/records/[recordId],Course record redirect,src/app/(app)/courses/[courseId]/records/[recordId]/page.tsx,1,P93-C01,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Redirect contract source-reviewed,Redirect; verify the destination mobile task,
P94,/courses/[courseId]/tournaments,Course tournament redirect,src/app/(app)/courses/[courseId]/tournaments/page.tsx,1,P94-C01,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Redirect contract source-reviewed,Redirect; verify the destination mobile task,
P95,/tournaments/[tournamentId]/leaderboard,Tournament standings redirect,src/app/(app)/tournaments/[tournamentId]/leaderboard/page.tsx,1,P95-C01,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Redirect contract source-reviewed,Redirect; verify the destination mobile task,
P96,/tournaments/[tournamentId]/rounds,Tournament rounds redirect,src/app/(app)/tournaments/[tournamentId]/rounds/page.tsx,1,P96-C01,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Redirect contract source-reviewed,Redirect; verify the destination mobile task,
P97,/tournaments/[tournamentId]/rules,Tournament rules redirect,src/app/(app)/tournaments/[tournamentId]/rules/page.tsx,1,P97-C01,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Redirect contract source-reviewed,Redirect; verify the destination mobile task,
P98,/tournaments/[tournamentId]/submit,Tournament submit redirect,src/app/(app)/tournaments/[tournamentId]/submit/page.tsx,1,P98-C01,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Redirect contract source-reviewed,Redirect; verify the destination mobile task,
